,Opcode,funct3,funct7,type,Imm. Val
add,0110011,000,0000000,R, - 
addw,0110011,000,0000000,R, - 
sub,0110011,000,0100000,R, - 
subw,0110011,000,0100000,R, - 
xor,0110011,100,0000000,R, - 
or,0110011,110,0000000,R, - 
and,0110011,111,0000000,R, - 
sll,0110011,001,0000000,R, - 
sllw,0110011,001,0000000,R, - 
srl,0110011,101,0000000,R, - 
srlw,0110011,101,0000000,R, - 
sra,0110011,101,0100000,R, - 
sraw,0110011,101,0100000,R, - 
slt,0110011,010,0000000,R, - 
sltu,0110011,011,0000000,R, - 
addi,0010011,000, - ,I, - 
addiw,0010011,000, - ,I, - 
xori,0010011,100, - ,I, - 
ori,0010011,110, - ,I, - 
andi,0010011,111, - ,I, - 
slli,0010011,001, - ,I, - 
slliw,0010011,001, - ,I, - 
srli,0010011,101, - ,I, - 
srliw,0010011,101, - ,I, - 
srai,0010011,101, - ,I, - 
sraiw,0010011,101, - ,I, - 
slti,0010011,010, - ,I, - 
sltiu,0010011,011, - ,I, - 
lb,0000011,000, - ,I, - 
lh,0000011,001, - ,I, - 
lw,0000011,010, - ,I, - 
lbu,0000011,100, - ,I, - 
lhu,0000011,101, - ,I, - 
sb,0100011,000, - ,S, - 
sh,0100011,001, - ,S, - 
sw,0100011,0010, - ,S, - 
beq,1100011,000, - ,B, - 
bne,1100011,001, - ,B, - 
blt,1100011,100, - ,B, - 
bge,1100011,101, - ,B, - 
bltu,1100011,110, - ,B, - 
bgeu,1100011,111, - ,B, - 
jal,1101111, - , - ,J, - 
jalr,1100111,000, - ,I, - 
lui,0110111, - , - ,U, - 
auipc,0010111, - , - ,U, - 
ecall,1110011,000, - ,I,0
ebreak,1110011,000, - ,I,1
csrrc,1110011,011, - ,I, - 
csrrci,1110011,111, - ,I, - 
csrrs,1110011,010, - ,I, - 
csrrsi,1110011,110, - ,I, - 
csrrw,1110011,001, - ,I, - 
csrrwi,1110011,101, - ,I, - 
mul,0110011,000,0000001,R, - 
mulw,0110011,000,0000001,R, - 
mulh,0110011,001,0000001,R, - 
mulhsu,0110011,010,0000001,R, - 
mulu,0110011,011,0000001,R, - 
div,0110011,100,0000001,R, - 
divw,0110011,100,0000001,R, - 
divu,0110011,101,0000001,R, - 
rem,0110011,110,0000001,R, - 
remw,0110011,110,0000001,R, - 
remu,0110011,111,0000001,R, - 
remuw,0110011,111,0000001,R, - 
